order_month,total_sales,order_count,customer_count,quantity_sold
2025-01,70272900,244,197,903
2025-02,56964600,192,163,729
2025-03,71439800,260,207,971
2025-04,84479900,285,226,1091
2025-05,87100800,274,225,1089
2025-06,69060500,222,197,891
2025-07,73139100,251,218,953
2025-08,71355300,234,196,933
2025-09,79483000,244,208,996
2025-10,64780300,211,186,791
2025-11,114327100,378,314,1459
2025-12,140008100,459,375,1822
2026-01,68498000,212,189,857
2026-02,59765600,202,180,782
2026-03,86988500,292,261,1093
2026-04,81088800,282,252,1077
2026-05,87826300,286,259,1093
2026-06,70014900,205,188,842
2026-07,44582400,129,124,566
